"year" "landing" "price" "nu"
"1" 1982 81 3.8646127947336 -0.00260926948844914
"2" 1983 172 2.2046448826332 0.0132021038126211
"3" 1984 124 2.7785009773668 0.36732185509161
"4" 1985 136 2.9697863419749 -0.00512621441089201
"5" 1986 150 2.248953922278 -0.155375834267775
"6" 1987 157 1.8166706117973 0.175519258759594
"7" 1988 184 1.8350426527587 0.0387747161025167
"8" 1989 171 2.0187630596448 -0.00631302895954761
"9" 1990 136 2.1830307170637 -0.0736244533100603
"10" 1991 146 2.1408830944305 0.194199442642112
"11" 1992 156 2.1754657593417 -0.106207997024784
"12" 1993 169 1.9182571895193 0.136955469622652
"13" 1994 178 1.8534146928108 0.006223205099799
"14" 1995 191 1.4632790058726 -0.19666837587648
"15" 1996 153.009 1.3565410717929 -0.265989285778924
"16" 1997 125.302 1.5240457908375 -0.120222338610476
"17" 1998 139.711 1.5582002536485 -0.118352951580098
"18" 1999 137.578 1.2988762883061 -0.555081445835938
"19" 2000 153.899 1.1294681170227 0.356687923105817
"20" 2001 141.508 2.2208652069954 -0.0925080625171959
"21" 2002 112.582 2.4574090477503 -0.252057824961389
"22" 2003 114.806 1.7292543470433 -0.184280729333014
"23" 2004 136.809 1.5213489134256 -0.0795902899259707
"24" 2005 167.45 1.8810918361809 0.404991109356411
