year,landing,price
1982,81,4.250096552
1983,172,2.424551724
1984,124,3.055648276
1985,136,3.266013793
1986,150,2.47328046
1987,157,1.997878161
1988,184,2.018082759
1989,171,2.220128736
1990,136,2.400781609
1991,146,2.354429885
1992,156,2.392462069
1993,169,2.109597701
1994,178,2.038287356
1995,191,1.609236782
1996,153.009,1.491852053
1997,125.302,1.676064875
1998,139.711,1.713626145
1999,137.578,1.428435377
2000,153.899,1.242129239
2001,141.508,2.442389978
2002,112.582,2.702528371
2003,114.806,1.901742381
2004,136.809,1.673098992
2005,167.45,2.068725213
