dist,time,sex
100.00,9.58,M
200.00,19.9,M
400.00,43.18,M
800.00,100.91,M
1500.00,206,M
3000.00,440.67,M
1609.34,223.13,M
5000.00,757.5,M
10000.00,1577.53,M
42195.00,7354.2,M
21097.50,3499.8,M
20000.00,3387,M
25000.00,4410,M
30000.00,5320,M
3218.69,417,M
15000.00,2523,M
20944.00,3600,M
100.00,10.49,W
200.00,21.34,W
400.00,47.6,W
800.00,113.28,W
1500.00,230.46,W
3000.00,486.11,W
1609.34,252.56,W
5000.00,867.42,W
10000.00,1771.78,W
42195.00,9925,W
21097.50,3975,W
20000.00,3926.6,W
25000.00,5225.8,W
30000.00,6350,W
3218.69,538.58,W
15000.00,2801,W
18084.00,3600,W
